FILER_ID,FILER_NAME
10634,Friends Of John Walker
10635,Friends Of Frank Tinklepaugh
10636,Friends Of Mary Cedeno
10637,Friends Of Nicole Brady
10638,Friends Of Rafael Figuereo
10639,Friends Of Mimi Pierre Johnson
1064,Team North Greenbush (Together Everybody Achieves More)
10640,Friends Of Robert E. Cornegy Jr. (Friends Of Rec Jr)
10641,Friends Of Jennifer Maertz
10642,Schuyler County Conservative Committee
10643,Keycorp Advocates Fund-New York
10644,Friends Of Abrahams Committee
10645,Ploski 98
10646,Taxicab Service Political Action Committee
10647,Committee To Re-Elect Judge Penny Wolfgang
10648,Friends Of Brian Kolb
10649,Schodack Democratic Club
1065,Sandy For Council
10650,People For Astorino
10651,Troy Republican Committee
10652,Committee To Elect Danny Sklarski
10653,Professional Ambulance Association Of Nys
10654,The Right Way For New York
10655,Southern Tier Hb & Rem. Build - Pac
10656,Port Authority Pba Inc. - Ny Pac
10657,Suffolk County District Council Of Carpenters Pac
10658,Peoples Action Comm
10659,Committee To Elect Nellie R. Santiago Senator
1066,Friends Of Jeff Rubin
10660,Committee To Elect Joseph M. Destefano For Assembly
10661,Maguire And Rossi For Lewisboro
10662,Nick Simpson 2009
10663,Paul Zonderman Election Committee
10664,Citizens For Nelligan
10665,Steve Kimatian For Mayor
10666,Friends Of Winchester Key
10667,Committee To Re-Elect Denise Randall Guilderland Town Justice
10668,City Republican Committee
10669,Friends Of Domenic Volpe
1067,Libertarian Party Madison County Organization
10670,Committee To Elect Chris Ann Kelley
10671,Friends Of Virginia F. Stern
10672,Schiffman For Council
10673,Friends Of Judge Emmett Murphy
10674,Grumman Pac
10675,People For Siegel
10676,Friends Of Joe Morelle
10677,Friends Of Judge Richard H. Ackerson
10678,Committee To Elect Ken Padilla
10679,People For Carmen Gomez Goldberg
1068,Friends Of Edward Hyde Clarke
10680,Friends Of Cunningham For Councilman
10681,Friends Of Tom Constantine
10682,Friends Of Paul Valentine
10683,Committee To Re-Elect Delgallo
10684,Friends Of William Anshen
10685,Meloni Nycc
10686,Friends Of Larry Love
10687,Keene For Judge
10688,Committee To Elect Iocovozzi District Attorney
10689,Citizens For Don Thomas For Assembly
1069,Committee To Re-Elect Judge Sharon M. Lovallo
10690,Local Union 501 Ibew Political Action Committee
10691,Citizens For OHara
10692,Comm. To Send Victor J. Turchiarelli To Albany
10693,New York State Afl-Cio Cope
10694,Nyc Pol Action For Cand Election
10695,Weld For New York
10696,Friends Of Alan Maisel
10697,Gallagher New York
10698,Friends Of Peter Mayer
10699,Justice For All Inc
107,Friends For Ryan Mc Mahon
1070,Committee To Elect Connors Supervisor
10700,Alvarez and Marsal Holdings Llc Pac
10701,Brady For Working Families
10702,Friends Of Andrew Falk
10703,Friends To Elect Melanie Calzone
10704,Smith For Pittsford
10705,Macedon Democratic Party
10706,Committee To Elect Judge Stiglmeier
10707,John M. Camardo Committee To Elect Auburn City Council
10708,Friends Of Pat Snyder
10709,Committee To Re-Elect Judge Kathleen Dell
1071,Friends Of Skeele For Assembly
10710,Friends Of Stephen J. Cole-Hatchard
10711,Committee To Elect Joe Mascia
10712,Promise Pac
10713,Campbell For Supreme Court
10714,Friends Of Carolyn Mccarthy - State Account
10715,Friends Of Joe Lorintz For Supreme Court
10716,Joseph F. Kasper For Judge (Jfk For Judge)
10717,Wilfredo Larancuent For State Senate
10718,Suffolk County Restaurant & Tavern Assoc. Pac
10719,Friends Of Virginia Perez
1072,United Union of Roofers Waterproofers and Allied Workers Political Education and Legislative Fund
10720,Friends Of Rob Calarco
10721,Friends Of John Bailey
